architecture,strain,cycle_sequence,delta_R_over_R0_percent
CNT/CB single layer,30%,0.2639542703429724,36.427628684557845
CNT/CB single layer,30%,0.265635507733692,36.69159700835898
CNT/CB single layer,30%,0.26731674512441156,37.08754949406071
CNT/CB single layer,30%,0.26899798251513113,37.43950725912891
CNT/CB single layer,30%,0.2706792199058507,37.659480862296526
CNT/CB single layer,30%,0.27236045729657027,37.967443906731184
CNT/CB single layer,30%,0.27404169468728984,38.27540695116587
CNT/CB single layer,30%,0.2757229320780094,38.67135943686756
CNT/CB single layer,30%,0.277404169468729,39.02331720193577
CNT/CB single layer,30%,0.27908540685944855,39.37527496700397
CNT/CB single layer,30%,0.2807666442501681,39.683238011438625
CNT/CB single layer,30%,0.2824478816408877,40.29916410030797
CNT/CB single layer,30%,0.28412911903160726,40.69511658600967
CNT/CB single layer,30%,0.28581035642232683,41.04707435107787
CNT/CB single layer,30%,0.2874915938130464,41.39903211614607
CNT/CB single layer,30%,0.28917283120376597,41.794984601847766
CNT/CB single layer,30%,0.29085406859448554,42.190937087549486
CNT/CB single layer,30%,0.2925353059852051,42.76286845578531
CNT/CB single layer,30%,0.2942165433759247,43.15882094148703
CNT/CB single layer,30%,0.29589778076664425,43.68675758908931
CNT/CB single layer,30%,0.2975790181573638,44.08271007479103
CNT/CB single layer,30%,0.2992602555480834,44.52265728112627
CNT/CB single layer,30%,0.30094149293880296,44.91860976682799
CNT/CB single layer,30%,0.3026227303295225,45.35855697316323
CNT/CB single layer,30%,0.3043039677202421,45.798504179498444
CNT/CB single layer,30%,0.30598520511096167,46.282446106467226
CNT/CB single layer,30%,0.30766644250168124,46.72239331280247
CNT/CB single layer,30%,0.3093476798924008,47.33831940167178
CNT/CB single layer,30%,0.3110289172831204,47.86625604927409
CNT/CB single layer,30%,0.3127101546738399,48.350197976242846
CNT/CB single layer,30%,0.31439139206455957,49.45006599208095
CNT/CB single layer,30%,0.3160726294552791,50.10998680158381
CNT/CB single layer,30%,0.31775386684599866,51.51781786185657
CNT/CB single layer,30%,0.3194351042367182,52.79366476022878
CNT/CB single layer,30%,0.32111634162743774,53.54157501099866
CNT/CB single layer,30%,0.3227975790181574,54.33347998240211
CNT/CB single layer,30%,0.32447881640887694,55.08139023317201
CNT/CB single layer,30%,0.3261600537995965,56.00527936647603
CNT/CB single layer,30%,0.3278412911903161,56.92916849978003
CNT/CB single layer,30%,0.3295225285810356,58.07303123625165
CNT/CB single layer,30%,0.33120376597175527,59.12890453145623
CNT/CB single layer,30%,0.3328850033624748,60.360756709194895
CNT/CB single layer,30%,0.33456624075319435,61.72459304883413
CNT/CB single layer,30%,0.3362474781439139,61.02067751869775
CNT/CB single layer,30%,0.33792871553463344,60.14078310602727
CNT/CB single layer,30%,0.3396099529253531,59.70083589969203
CNT/CB single layer,30%,0.34129119031607263,59.39287285525737
CNT/CB single layer,30%,0.3429724277067922,59.17289925208975
CNT/CB single layer,30%,0.3446536650975118,58.90893092828862
CNT/CB single layer,30%,0.3463349024882313,58.732952045754516
CNT/CB single layer,30%,0.34801613987895097,58.55697316322042
CNT/CB single layer,30%,0.3496973772696705,58.380994280686316
CNT/CB single layer,30%,0.35137861466039005,58.29300483941927
CNT/CB single layer,30%,0.3530598520511096,58.07303123625165
CNT/CB single layer,30%,0.35474108944182914,57.94104707435107
CNT/CB single layer,30%,0.3564223268325487,57.76506819181697
CNT/CB single layer,30%,0.35810356422326833,57.54509458864935
CNT/CB single layer,30%,0.3597848016139879,57.413110426748794
CNT/CB single layer,30%,0.3614660390047075,57.23713154421469
CNT/CB single layer,30%,0.363147276395427,57.19313682358117
CNT/CB single layer,30%,0.36482851378614656,57.061152661680595
CNT/CB single layer,30%,0.3665097511768662,56.92916849978003
CNT/CB single layer,30%,0.36819098856758575,56.88517377914649
CNT/CB single layer,30%,0.3698722259583053,56.75318961724594
CNT/CB single layer,30%,0.37155346334902484,56.53321601407831
CNT/CB single layer,30%,0.3732347007397444,56.44522657281127
CNT/CB single layer,30%,0.37491593813046403,56.40123185217772
CNT/CB single layer,30%,0.3765971755211836,56.31324241091069
CNT/CB single layer,30%,0.3782784129119032,56.225252969643655
CNT/CB single layer,30%,0.3799596503026227,56.181258249010114
CNT/CB single layer,30%,0.38164088769334226,56.04927408710956
CNT/CB single layer,30%,0.3833221250840619,55.96128464584249
CNT/CB single layer,30%,0.38500336247478145,55.91728992520897
CNT/CB single layer,30%,0.386684599865501,55.87329520457545
CNT/CB single layer,30%,0.38836583725622054,55.829300483941935
CNT/CB single layer,30%,0.3900470746469401,55.697316322041345
CNT/CB single layer,30%,0.39172831203765973,55.65332160140783
CNT/CB single layer,30%,0.3934095494283793,55.60932688077431
CNT/CB single layer,30%,0.39509078681909887,55.52133743950725
CNT/CB single layer,30%,0.3967720242098184,55.477342718873736
CNT/CB single layer,30%,0.39845326160053796,55.433347998240215
CNT/CB single layer,30%,0.4001344989912576,55.38935327760669
CNT/CB single layer,30%,0.40181573638197715,55.30136383633963
CNT/CB single layer,30%,0.4034969737726967,55.25736911570611
CNT/CB single layer,30%,0.40517821116341624,55.21337439507259
CNT/CB single layer,30%,0.4068594485541358,55.16937967443907
CNT/CB single layer,30%,0.40854068594485543,55.08139023317201
CNT/CB single layer,30%,0.410221923335575,55.03739551253849
CNT/CB single layer,30%,0.41190316072629457,54.99340079190497
CNT/CB single layer,30%,0.4135843981170141,54.949406071271454
CNT/CB single layer,30%,0.41526563550773365,54.86141663000439
CNT/CB single layer,30%,0.4169468728984533,54.817421909370864
CNT/CB single layer,30%,0.41862811028917285,54.68543774747031
CNT/CB single layer,30%,0.4203093476798924,54.68543774747031
CNT/CB single layer,30%,0.42199058507061193,54.64144302683677
CNT/CB single layer,30%,0.4236718224613315,54.553453585569734
CNT/CB single layer,30%,0.42535305985205113,54.509458864936214
CNT/CB single layer,30%,0.4270342972427707,54.509458864936214
CNT/CB single layer,30%,0.42871553463349027,54.465464144302686
CNT/CB single layer,30%,0.4303967720242098,54.421469423669144
CNT/CB single layer,30%,0.43207800941492935,54.421469423669144
CNT/CB single layer,30%,0.4337592468056489,54.37747470303563
CNT/CB single layer,30%,0.43544048419636855,54.33347998240211
CNT/CB single layer,30%,0.4371217215870881,54.28948526176859
CNT/CB single layer,30%,0.43880295897780763,54.24549054113508
CNT/CB single layer,30%,0.4404841963685272,54.201495820501535
CNT/CB single layer,30%,0.4421654337592468,54.157501099868014
CNT/CB single layer,30%,0.4438466711499664,54.11350637923449
CNT/CB single layer,30%,0.44552790854068597,54.069511658600966
CNT/CB single layer,30%,0.4472091459314055,54.02551693796745
CNT/CB single layer,30%,0.44889038332212505,54.02551693796745
CNT/CB single layer,30%,0.4505716207128446,53.98152221733391
CNT/CB single layer,30%,0.45225285810356425,53.93752749670039
CNT/CB single layer,30%,0.4539340954942838,53.89353277606686
CNT/CB single layer,30%,0.45561533288500333,53.84953805543336
CNT/CB single layer,30%,0.4572965702757229,53.84953805543336
CNT/CB single layer,30%,0.45897780766644247,53.805543334799836
CNT/CB single layer,30%,0.4606590450571621,53.71755389353277
CNT/CB single layer,30%,0.46234028244788167,53.01363836339639
CNT/CB single layer,30%,0.4640215198386012,51.82578090629125
