strain_percent,resistance_ohm
900.83565,47.66
902.29805,47.7
903.76045,47.58
905.22284,47.72
906.68524,47.57
908.14763,47.78
909.61003,47.6
911.07242,47.58
912.53482,47.6
913.99721,47.62
915.45961,47.77
916.92201,47.67
918.3844,47.79
919.8468,47.57
921.30919,47.79
922.77159,47.55
924.23398,47.8
925.69638,47.7
927.15877,47.54
928.62117,47.52
930.08357,47.82
931.54596,47.71
933.00836,47.7
934.47075,47.55
935.93315,47.59
937.39554,47.69
938.85794,47.77
940.32033,47.75
941.78273,47.64
943.24513,47.76
944.70752,47.64
946.16992,47.94
947.63231,47.89
949.09471,47.99
950.5571,47.95
952.0195,47.92
953.48189,47.88
954.94429,47.85
956.40669,47.72
957.86908,47.75
959.33148,47.73
960.79387,47.82
962.25627,47.83
963.71866,47.6
965.18106,47.73
966.64345,47.68
968.10585,47.71
969.56825,47.6
971.03064,47.62
972.49304,47.59
973.95543,47.68
975.41783,47.6
976.88022,47.74
978.34262,47.51
979.80501,47.54
981.26741,47.51
982.72981,47.74
984.1922,47.61
985.6546,47.64
987.11699,47.54
988.57939,47.6
990.04178,47.62
991.50418,47.52
992.96657,47.45
994.42897,47.55
995.89136,47.44
997.35376,47.59
998.81616,47.42
1000.27855,47.36
1001.74095,47.4
1003.20334,47.45
1004.66574,47.55
1006.12813,47.35
1007.59053,47.53
1009.05292,47.46
1010.51532,47.46
1011.97772,47.36
1013.44011,47.44
1014.90251,47.33
1016.3649,47.33
1017.8273,47.44
1019.28969,47.28
1020.75209,47.32
1022.21448,47.38
1023.67688,47.48
1025.13928,47.55
1026.60167,47.7
1028.06407,47.49
1029.52646,47.56
1030.98886,47.73
1032.45125,47.48
1033.91365,47.51
1035.37604,47.51
1036.83844,47.51
1038.30084,47.45
1039.76323,47.69
1041.22563,47.63
1042.68802,47.87
1044.15042,47.71
1045.61281,47.85
1047.07521,47.63
1048.5376,47.44
