group,displacement_mm,tensile_adhesion_kPa
Fr-PA-10,9.41294,9.1711
Fr-PA-10,9.43931,9.17176
Fr-PA-10,9.46655,9.16598
Fr-PA-10,9.49644,9.16598
Fr-PA-10,9.52192,9.16281
Fr-PA-10,9.54995,9.16151
Fr-PA-10,9.57915,9.1589
Fr-PA-10,9.60557,9.15378
Fr-PA-10,9.63394,9.14801
Fr-PA-10,9.66289,9.13906
Fr-PA-10,9.6895,9.09165
Fr-PA-10,9.7167,8.98966
Fr-PA-10,9.74541,8.96405
Fr-PA-10,9.77222,8.96154
Fr-PA-10,9.80044,8.95828
Fr-PA-10,9.82939,8.95893
Fr-PA-10,9.85601,8.96088
Fr-PA-10,9.88579,8.95958
Fr-PA-10,9.91201,8.95632
Fr-PA-10,9.93862,8.95762
Fr-PA-10,9.96689,8.95828
Fr-PA-10,9.99526,8.95762
Fr-PA-10,10.02266,8.95958
Fr-PA-10,10.0499,8.95958
Fr-PA-10,10.07881,8.95958
Fr-PA-10,10.1061,8.95511
Fr-PA-10,10.13335,8.95697
Fr-PA-10,10.16147,8.96023
Fr-PA-10,10.18887,8.95828
Fr-PA-10,10.2188,8.95632
Fr-PA-10,10.24526,8.95762
Fr-PA-10,10.27246,8.95446
Fr-PA-10,10.3022,8.9525
Fr-PA-10,10.32778,8.9538
Fr-PA-10,10.3561,8.95446
Fr-PA-10,10.38516,8.9525
Fr-PA-10,10.41157,8.95632
Fr-PA-10,10.43887,8.95511
Fr-PA-10,10.4686,8.95446
Fr-PA-10,10.49438,8.9525
Fr-PA-10,10.52241,8.95315
Fr-PA-10,10.55107,8.9538
Fr-PA-10,10.57778,8.95446
Fr-PA-10,10.60547,8.95315
Fr-PA-10,10.63516,8.9538
Fr-PA-10,10.66172,8.9538
Fr-PA-10,10.68901,8.9538
Fr-PA-10,10.71782,8.95185
Fr-PA-10,10.74424,8.9525
Fr-PA-10,10.77256,8.94933
PTPU-10,0.02739,2.97178
PTPU-10,0.05293,5.45959
PTPU-10,0.08008,7.4993
PTPU-10,0.10918,9.21469
PTPU-10,0.13594,10.66081
PTPU-10,0.16318,11.69357
PTPU-10,0.24658,11.68844
PTPU-10,0.24658,11.68844
PTPU-10,0.32979,12.74672
PTPU-10,0.32979,12.74672
PTPU-10,0.35723,12.92499
PTPU-10,0.35723,12.92499
PTPU-10,0.35723,12.92499
PTPU-10,0.38647,12.87107
PTPU-10,0.41318,12.45957
PTPU-10,0.44067,11.96917
PTPU-10,0.4707,11.56345
PTPU-10,0.49634,11.07623
PTPU-10,0.52441,10.74548
PTPU-10,0.55347,10.44994
PTPU-10,0.57983,10.28974
PTPU-10,0.60688,10.0756
PTPU-10,0.63677,9.79227
PTPU-10,0.66348,9.54358
PTPU-10,0.69063,9.4333
PTPU-10,0.71958,9.36279
PTPU-10,0.746,9.19486
PTPU-10,0.80298,8.8737
PTPU-10,0.80298,8.8737
PTPU-10,0.82959,8.65827
PTPU-10,0.85933,8.45829
PTPU-10,0.88579,8.27173
PTPU-10,0.91299,8.03971
PTPU-10,0.94043,7.87364
PTPU-10,0.96924,7.7275
PTPU-10,0.99546,7.56273
PTPU-10,1.02559,7.4423
PTPU-10,1.0521,7.37431
PTPU-10,1.07925,7.30119
PTPU-10,1.10918,7.21979
PTPU-10,1.13555,7.13456
PTPU-10,1.19185,6.93775
PTPU-10,1.19185,6.93775
PTPU-10,1.21851,6.8352
PTPU-10,1.24575,6.69223
PTPU-10,1.27578,6.59741
PTPU-10,1.30137,6.54544
PTPU-10,1.32954,6.5243
PTPU-10,1.35845,6.50828
PTPU-10,1.38486,6.49486
PTPU-10,1.41211,6.46981
PTPU-10,1.44199,6.44354
PTPU-10,1.46777,6.4333
PTPU-10,1.4959,6.42687
PTPU-10,1.52476,6.42557
PTPU-10,1.55127,6.42557
PTPU-10,1.5793,6.42948
PTPU-10,1.6083,6.4211
PTPU-10,1.63428,6.40889
PTPU-10,1.66235,6.40126
PTPU-10,1.69131,6.39483
PTPU-10,1.71772,6.38971
PTPU-10,1.74546,6.38198
PTPU-10,1.7752,6.35571
PTPU-10,1.80142,6.33457
PTPU-10,1.82896,6.31016
PTPU-10,1.91265,6.23006
PTPU-10,1.91265,6.23006
PTPU-10,1.91265,6.23006
PTPU-10,1.94165,6.20575
PTPU-10,1.99775,6.148
