group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,5.7626,257.15306
Fr-PA-10,5.7916,258.44772
Fr-PA-10,5.81797,258.70481
Fr-PA-10,5.84531,257.99878
Fr-PA-10,5.87451,258.44772
Fr-PA-10,5.90186,258.85756
Fr-PA-10,5.9292,257.602
Fr-PA-10,5.9582,255.40946
Fr-PA-10,5.98486,253.74222
Fr-PA-10,6.0145,254.42214
Fr-PA-10,6.04077,256.07634
Fr-PA-10,6.06768,256.52528
Fr-PA-10,6.09585,256.75628
Fr-PA-10,6.12485,257.80692
Fr-PA-10,6.15151,259.91006
Fr-PA-10,6.17881,262.80675
Fr-PA-10,6.20767,263.94868
Fr-PA-10,6.23423,264.47399
Fr-PA-10,6.26255,265.4855
Fr-PA-10,6.29155,265.70346
Fr-PA-10,6.31807,265.25638
Fr-PA-10,6.34551,265.30669
Fr-PA-10,6.37456,265.33277
Fr-PA-10,6.40107,265.81895
Fr-PA-10,6.42925,265.07568
Fr-PA-10,6.45811,262.54969
Fr-PA-10,6.48472,262.22928
Fr-PA-10,6.51226,261.6015
Fr-PA-10,6.54121,261.11531
Fr-PA-10,6.56841,261.43572
Fr-PA-10,6.59585,261.34443
Fr-PA-10,6.62476,261.51209
Fr-PA-10,6.65127,263.51278
Fr-PA-10,6.67896,265.94748
Fr-PA-10,6.70796,267.07637
Fr-PA-10,6.73447,267.05029
Fr-PA-10,6.76265,265.72955
Fr-PA-10,6.79126,266.24181
Fr-PA-10,6.81787,265.47434
Fr-PA-10,6.84565,264.74223
Fr-PA-10,6.8749,265.37001
Fr-PA-10,6.90161,267.29434
Fr-PA-10,6.93135,267.89601
Fr-PA-10,6.95791,268.11397
Fr-PA-10,6.98521,268.39712
Fr-PA-10,7.01235,268.73057
Fr-PA-10,7.04131,268.85724
Fr-PA-10,7.06802,268.53683
Fr-PA-10,7.0979,268.51261
Fr-PA-10,7.12441,267.96122
Fr-PA-10,7.15176,268.08789
Fr-PA-10,7.17905,267.54954
Fr-PA-10,7.20796,264.57646
Fr-PA-10,7.23442,263.46061
Fr-PA-10,7.26196,263.5761
Fr-PA-10,7.29092,263.39726
Fr-PA-10,7.31841,262.89618
Fr-PA-10,7.34575,263.9729
Fr-PA-10,7.37461,264.16662
Fr-PA-10,7.40107,263.60219
Fr-PA-10,7.43091,264.22997
Fr-PA-10,7.45742,264.55038
Fr-PA-10,7.48481,264.20388
Fr-PA-10,7.51201,264.49821
Fr-PA-10,7.54116,264.67891
Fr-PA-10,7.56836,265.06264
Fr-PA-10,7.59751,265.84504
Fr-PA-10,7.62402,266.64047
Fr-PA-10,7.65103,267.05029
Fr-PA-10,7.68101,267.66503
Fr-PA-10,7.70781,267.66503
Fr-PA-10,7.73496,266.85841
Fr-PA-10,7.76396,266.84539
Fr-PA-10,7.79058,266.89568
Fr-PA-10,7.81772,266.7038
Fr-PA-10,7.84512,267.42287
Fr-PA-10,7.87373,267.40983
Fr-PA-10,7.90112,266.65351
Fr-PA-10,7.9311,267.08941
Fr-PA-10,7.95767,267.71719
Fr-PA-10,7.98516,267.97426
Fr-PA-10,8.01401,269.1143
